Mastermix,Buffer,Template,Nickase,Polymerase,1nM Cq50(P),1pM Cq50(P),Cq50(N),1nM Diff,1pM Diff
1,0.1,10,0.05,0.005,,,,,
2,1.05,55,0.275,0.0525,4.533505967,5.973939277,6.658611571,2.125105604,0.684672294
3,1.525,32.5,0.1625,0.02875,4.272326531,5.476870207,6.239393903,1.967067371,0.762523695
4,0.575,77.5,0.3875,0.07625,22.26043855,29.44984971,31.2894715,9.029032955,1.839621786
5,0.8125,43.75,0.33125,0.088125,10.64788028,16.09023609,18.9425413,8.294661028,2.852305214
6,1.7625,88.75,0.10625,0.040625,8.702398099,11.84687653,14.00341448,5.301016386,2.156537951
7,1.2875,21.25,0.44375,0.064375,2.127517083,5.393866824,6.455893124,4.328376041,1.0620263
8,0.3375,66.25,0.21875,0.016875,,,,,
9,0.45625,38.125,0.471875,0.0465625,101.8806042,,,,
10,1.40625,83.125,0.246875,0.0940625,0.428180923,0.705824405,0.735578596,0.307397673,0.029754191
