Mastermix,Buffer,Template,Nickase,Polymerase,1nM Cq50(P),1pM Cq50(P),Cq50(N),1nM Diff,1pM Diff
11,1.26,41.86,0.23,0.05,0.374009847,0.312538132,4.072087956,3.698078109,3.759549823
12,1.37,72.86,0.22,0.06,0.593535469,0.678788642,0.754968684,0.161433215,0.076180042
13,0.12,98.54,0.05,0.04,2.845007213,3.36171943,3.417645254,0.572638041,0.055925824
14,0.88,10.27,0.08,0.1,4.68863498,6.139513024,8.000757645,3.312122665,1.861244621
15,0.15,42.44,0.5,0.03,120,120,120,0,0
16,0.1,72.8,0.15,0.005,120,120,120,0,0
17,1.95,75.92,0.5,0.007,16.58160512,20.79883168,32.46334356,15.88173844,11.66451187
18,1.94,10.7,0.06,0.1,14.58371623,21.75567721,32.43276613,17.8490499,10.67708891
19,1.96,86.28,0.05,0.01,27.89364897,36.91166231,52.84541198,24.95176301,15.93374967
20,1.71,96.34,0.18,0.02,5.786952829,7.431439824,9.138856881,3.351904051,1.707417057
21,0.93,97.18,0.48,0.01,13.22708416,16.77094633,18.93441096,5.707326804,2.163464632
22,0.1,99.97,0.06,0.01,5.329383119,5.680032666,5.779316369,0.449933249,0.099283703
